"state_name","All","Asian","Black","Hispanic","White"
"Alabama","44","> 70%","43","57","43"
"Alaska","64","> 70%","52","45","61"
"Arizona","60","> 70%","50","43","67"
"Arkansas","50","> 70%","45","46","52"
"California","> 70%","> 70%","60","65","> 70%"
"Colorado","70","> 70%","62","39","> 70%"
"Connecticut","> 70%","> 70%","57","> 70%","> 70%"
"Delaware","> 70%","> 70%","59","> 70%","> 70%"
"District of Columbia","> 70%","> 70%","64","> 70%","> 70%"
"Florida","63","NR","40","67","67"
"Georgia","53","> 70%","49","49","53"
"Hawaii","> 70%","> 70%","38","NR","> 70%"
"Idaho","49","> 70%","64","43","49"
"Illinois","> 70%","> 70%","55","68","> 70%"
"Indiana","54","> 70%","43","49","54"
"Iowa","62","65","35","48","64"
"Kansas","59","> 70%","51","57","60"
"Kentucky","60","> 70%","52","NR","60"
"Louisiana","46","> 70%","46","67","43"
"Maine","> 70%","> 70%","> 70%","> 70%","> 70%"
"Maryland","> 70%","> 70%","68","> 70%","> 70%"
"Massachusetts","> 70%","> 70%","> 70%","> 70%","> 70%"
"Michigan","61","> 70%","47","60","63"
"Minnesota","69","> 70%","63","63","69"
"Mississippi","43","> 70%","43","42","42"
"Missouri","53","> 70%","45","> 70%","53"
"Montana","56","NR","NR","NR","NR"
"Nebraska","64","> 70%","56","60","65"
"Nevada","60","> 70%","43","61","58"
"New Hampshire","69","NR","NR","NR","NR"
"New Jersey","> 70%","> 70%","55","> 70%","> 70%"
"New Mexico","> 70%","> 70%","68","59","> 70%"
"New York","> 70%","> 70%","53","> 70%","> 70%"
"North Carolina","54","> 70%","49","56","54"
"North Dakota","53","NR","NR","NR","NR"
"Ohio","59","> 70%","46","64","59"
"Oklahoma","52","> 70%","43","56","53"
"Oregon","> 70%","> 70%","> 70%","55","> 70%"
"Pennsylvania","> 70%","65","66","> 70%","> 70%"
"Rhode Island","> 70%","> 70%","66","> 70%","> 70%"
"South Carolina","52","NR","48","50","53"
"South Dakota","61","14","35","5","68"
"Tennessee","50","68","45","56","50"
"Texas","60","> 70%","47","59","60"
"Utah","60","> 70%","> 70%","49","61"
"Vermont","> 70%","> 70%","47","> 70%","> 70%"
"Virginia","> 70%","> 70%","62","> 70%","69"
"Washington","> 70%","> 70%","> 70%","64","> 70%"
"West Virginia","51","NR","48","NR","51"
"Wisconsin","64","> 70%","47","56","66"
"Wyoming","47","NR","NR","NR","NR"
